Organization Name,Type,Full-Time Employees,Part-Time Employees,Volunteers,City,Region,Planned Projects,Executed Projects,Rating (out of 100),Supervising Ministry,Target Group,Main Activity Area,Founded Year,Accreditation Status,Number of Beneficiaries,Workshops Conducted,Training Sessions Conducted,Volunteer Hours Contributed,Staff Retention Rate (%),Digital Presence
Society Harmony for Change,Technology,3,4,79,Taif,Southern,11,7,71,Ministry of Economy and Planning,Students,Relief,2009,Accredited,5955,8,83,5334,70,No
Initiative Harmony Network,Charitable,44,28,139,Makkah,Northern,10,10,97,Ministry of Education,Students,Advocacy,2021,Pending,1441,99,13,6264,85,Yes
Foundation Hope Mission,Environmental,50,15,152,Makkah,Northern,10,2,88,Ministry of Health,Disabled,Relief,1998,Unaccredited,3780,73,97,3896,92,No
Foundation Light Network,Health,19,17,275,Jeddah,Northern,4,10,66,"Ministry of Environment, Water and Agriculture",Youth,Advocacy,2017,Unaccredited,6803,35,70,7917,87,No
Center Care Network,Technology,2,2,223,Taif,Central,6,11,86,Ministry of Communications and Information Technology,Elderly,Training,1992,Accredited,5230,91,46,3583,76,No
Association Hope Group,Technology,36,4,78,Jeddah,Southern,5,19,61,Ministry of Education,Elderly,Advocacy,1997,Accredited,756,4,33,4324,83,Yes
Center Innovation Mission,Environmental,13,24,191,Makkah,Western,8,13,76,Ministry of Communications and Information Technology,Families,Training,2015,Pending,4671,72,17,9657,74,Yes
Foundation Unity Network,Educational,41,4,169,Najran,Southern,20,4,89,Ministry of Health,Job Seekers,Awareness,2012,Unaccredited,1109,42,56,5785,63,No
Association Hope Network,Cultural,14,12,208,Najran,Northern,13,8,90,Ministry of Communications and Information Technology,Job Seekers,Awareness,2016,Pending,5372,72,15,3171,93,No
Society Care for Change,Educational,16,10,121,Dammam,Southern,9,1,65,Ministry of Culture,Students,Relief,1990,Pending,9687,78,49,4746,88,No
Association Unity Network,Environmental,19,25,49,Najran,Northern,13,6,89,"Ministry of Environment, Water and Agriculture",Orphans,Awareness,2005,Pending,1237,83,14,7835,97,No
Association Hope Mission,Educational,14,6,218,Riyadh,Central,4,2,100,"Ministry of Environment, Water and Agriculture",Patients,Research,1998,Unaccredited,7594,72,72,1547,99,No
Foundation Light Mission,Health,11,23,300,Abha,Southern,9,11,78,Ministry of Education,Job Seekers,Capacity Building,2002,Unaccredited,1456,61,86,6026,70,No
Society Unity Mission,Health,28,26,175,Riyadh,Southern,11,4,91,Ministry of Communications and Information Technology,Job Seekers,Relief,1996,Pending,1933,89,52,1798,92,No
Center Innovation Group,Health,35,17,73,Najran,Eastern,4,16,75,"Ministry of Environment, Water and Agriculture",Elderly,Relief,2005,Pending,2459,23,57,8339,92,Yes
Society Empowerment Network,Health,18,21,149,Jeddah,Central,5,9,84,Ministry of Economy and Planning,Students,Relief,2005,Accredited,5007,68,74,1740,87,No
Center Growth Initiative,Social Services,7,25,188,Medina,Eastern,8,5,72,Ministry of Human Resources and Social Development,Students,Training,2011,Accredited,8760,84,26,2540,82,Yes
Foundation Innovation for Youth,Cultural,36,16,121,Jeddah,Western,5,19,75,Ministry of Human Resources and Social Development,Youth,Research,1996,Accredited,5303,30,9,9985,84,No
Society Care Group,Educational,45,16,155,Jeddah,Southern,15,17,99,Ministry of Culture,Patients,Community Engagement,1996,Pending,9321,64,78,4307,72,Yes
Center Development for Development,Charitable,25,3,161,Najran,Central,14,4,62,"Ministry of Environment, Water and Agriculture",Youth,Advocacy,1991,Accredited,7714,71,84,6911,64,Yes
Center Growth for Communities,Development,41,7,13,Hail,Central,2,11,60,Ministry of Municipal and Rural Affairs,Elderly,Community Engagement,2008,Accredited,8862,42,64,5903,80,No
Society Empowerment for Development,Social Services,2,12,265,Medina,Western,12,12,78,Ministry of Communications and Information Technology,Students,Awareness,1991,Pending,3227,15,51,7734,97,Yes
Society Compassion for Communities,Charitable,36,15,32,Jeddah,Central,11,12,100,"Ministry of Environment, Water and Agriculture",Elderly,Awareness,2017,Unaccredited,722,82,2,4814,75,No
Association Harmony Network,Social Services,12,22,48,Jeddah,Northern,12,14,85,Ministry of Culture,Refugees,Awareness,1999,Pending,8395,94,16,5892,90,No
Foundation Innovation for Communities,Development,49,30,44,Riyadh,Southern,2,13,82,Ministry of Communications and Information Technology,Orphans,Training,2007,Pending,665,10,26,6627,97,No
Society Prosperity for Development,Technology,24,23,42,Najran,Eastern,13,7,84,Ministry of Human Resources and Social Development,Patients,Capacity Building,2001,Pending,252,35,28,2400,90,No
Initiative Unity for Youth,Cultural,7,30,280,Tabuk,Eastern,15,0,65,Ministry of Municipal and Rural Affairs,Patients,Community Engagement,1992,Unaccredited,2264,20,64,4238,76,No
Center Innovation for Development,Charitable,2,25,248,Abha,Central,14,19,92,Ministry of Economy and Planning,Students,Training,2000,Pending,5227,29,56,700,67,Yes
Society Prosperity for Youth,Youth,16,14,261,Hail,Central,1,10,72,Ministry of Human Resources and Social Development,Orphans,Advocacy,2021,Pending,3682,93,18,8629,79,Yes
Initiative Development for Development,Educational,36,18,60,Riyadh,Western,8,15,83,Ministry of Economy and Planning,Refugees,Relief,1997,Pending,5584,83,23,4568,95,Yes
Society Development for Youth,Charitable,20,5,68,Dammam,Central,13,6,65,Ministry of Health,Youth,Research,2004,Unaccredited,9407,3,39,1380,84,No
Initiative Unity for Youth,Charitable,15,16,146,Makkah,Eastern,1,17,88,Ministry of Communications and Information Technology,Elderly,Community Engagement,2018,Unaccredited,433,44,53,3596,75,No
Center Innovation for Communities,Development,5,28,72,Jeddah,Northern,17,15,98,Ministry of Economy and Planning,Disabled,Advocacy,2013,Accredited,2446,85,73,776,94,No
Society Progress for Change,Youth,25,1,80,Makkah,Western,8,8,63,Ministry of Culture,Job Seekers,Relief,1993,Accredited,2051,81,84,3243,86,Yes
Initiative Growth for Development,Technology,40,9,122,Jeddah,Northern,6,1,73,Ministry of Culture,Students,Capacity Building,2015,Accredited,1375,1,35,6100,95,Yes
Initiative Hope for Communities,Technology,32,21,29,Medina,Eastern,14,2,81,Ministry of Health,Patients,Capacity Building,2004,Accredited,3221,34,67,367,80,No
Center Innovation for Development,Cultural,48,10,73,Jeddah,Eastern,1,8,63,Ministry of Municipal and Rural Affairs,Job Seekers,Advocacy,1996,Unaccredited,7976,20,20,5344,69,No
Society Progress for Communities,Social Services,17,2,164,Taif,Eastern,6,14,74,Ministry of Municipal and Rural Affairs,Disabled,Community Engagement,2004,Accredited,7525,76,36,3479,85,Yes
Society Unity for Change,Charitable,49,3,19,Najran,Southern,12,0,93,Ministry of Municipal and Rural Affairs,Students,Training,2001,Pending,6506,26,17,3212,82,No
Association Growth Initiative,Charitable,31,25,123,Jeddah,Eastern,1,17,68,Ministry of Health,Job Seekers,Research,1993,Unaccredited,1420,16,8,9044,64,Yes
Center Prosperity for Development,Cultural,12,8,257,Riyadh,Southern,17,1,97,Ministry of Communications and Information Technology,Youth,Relief,1992,Accredited,2398,64,92,738,94,Yes
Society Harmony Initiative,Youth,34,24,289,Dammam,Northern,20,13,81,Ministry of Education,Students,Awareness,2008,Unaccredited,6493,43,4,6116,88,No
Initiative Hope for Youth,Environmental,23,29,96,Taif,Northern,3,5,88,Ministry of Culture,Refugees,Community Engagement,1996,Accredited,8879,45,45,4723,75,No
Center Compassion for Youth,Development,18,5,216,Najran,Western,20,7,97,Ministry of Education,Orphans,Research,1991,Accredited,2618,72,67,6449,88,Yes
Society Hope for Youth,Social Services,38,26,97,Medina,Central,20,17,63,Ministry of Municipal and Rural Affairs,Orphans,Community Engagement,2014,Accredited,9989,98,48,1509,99,No
Society Growth for Change,Youth,32,25,29,Hail,Eastern,19,12,95,Ministry of Economy and Planning,Refugees,Research,1993,Pending,5634,66,41,8203,83,Yes
Initiative Harmony for Youth,Development,11,12,176,Abha,Northern,16,13,100,Ministry of Culture,Job Seekers,Training,2012,Pending,9972,16,84,4955,96,Yes
Society Development for Change,Social Services,39,15,60,Riyadh,Western,5,4,91,Ministry of Communications and Information Technology,Youth,Awareness,2014,Unaccredited,1284,19,12,167,83,No
Society Care Mission,Cultural,6,29,253,Medina,Southern,6,13,72,Ministry of Education,Patients,Relief,1995,Unaccredited,6390,13,61,8798,97,Yes
Center Growth for Development,Youth,14,5,118,Abha,Western,1,16,87,Ministry of Municipal and Rural Affairs,Youth,Advocacy,2001,Unaccredited,3570,51,16,6246,97,No
Foundation Unity for Change,Cultural,32,30,80,Riyadh,Northern,11,3,73,Ministry of Municipal and Rural Affairs,Youth,Awareness,2006,Unaccredited,2792,91,82,8033,79,No
Society Care for Change,Cultural,36,19,297,Hail,Central,9,11,78,Ministry of Economy and Planning,Youth,Relief,2010,Accredited,9187,48,71,395,77,No
Association Innovation Mission,Technology,3,1,99,Hail,Southern,16,7,100,Ministry of Human Resources and Social Development,Disabled,Awareness,2013,Unaccredited,3689,53,62,2758,78,Yes
Association Prosperity Network,Cultural,8,2,144,Jeddah,Southern,17,11,68,"Ministry of Environment, Water and Agriculture",Refugees,Relief,1999,Pending,8099,71,36,7175,86,Yes
Initiative Prosperity Initiative,Charitable,22,28,259,Hail,Northern,2,13,61,Ministry of Culture,Youth,Capacity Building,2001,Pending,6388,27,21,8649,94,Yes
Initiative Development Mission,Charitable,28,13,62,Najran,Southern,19,4,69,Ministry of Education,Disabled,Community Engagement,2000,Pending,9469,10,63,3331,62,No
Association Empowerment for Change,Social Services,7,20,94,Abha,Western,15,13,78,Ministry of Culture,Orphans,Awareness,2007,Accredited,4240,63,37,4446,91,No
Association Harmony for Change,Technology,12,4,270,Makkah,Central,20,20,66,Ministry of Health,Orphans,Community Engagement,2005,Accredited,9203,37,43,8461,85,Yes
Association Compassion for Change,Charitable,31,15,166,Hail,Eastern,5,4,69,Ministry of Municipal and Rural Affairs,Youth,Relief,2003,Accredited,5365,36,46,1917,65,Yes
Association Progress Initiative,Charitable,48,20,235,Najran,Southern,12,4,86,Ministry of Economy and Planning,Students,Advocacy,2010,Accredited,2408,47,44,641,98,No
Initiative Empowerment Network,Health,36,3,183,Najran,Northern,19,9,62,Ministry of Education,Elderly,Community Engagement,2017,Accredited,5189,71,94,7673,60,Yes
Association Hope Mission,Educational,29,25,216,Tabuk,Southern,19,16,78,Ministry of Education,Patients,Advocacy,2022,Pending,3042,44,49,4267,76,No
Initiative Light for Youth,Social Services,31,15,289,Makkah,Northern,11,19,88,Ministry of Municipal and Rural Affairs,Elderly,Capacity Building,1995,Pending,8007,15,45,991,69,No
Initiative Unity Initiative,Cultural,46,12,19,Makkah,Western,6,11,86,Ministry of Economy and Planning,Disabled,Capacity Building,2010,Pending,3566,74,51,8561,81,No
Center Growth for Development,Youth,28,15,58,Makkah,Northern,12,9,83,Ministry of Culture,Patients,Advocacy,2004,Unaccredited,7335,83,7,6662,87,No
Center Care Network,Environmental,27,13,141,Riyadh,Northern,11,12,85,Ministry of Communications and Information Technology,Families,Advocacy,2006,Pending,9900,11,38,6175,65,No
Center Light Mission,Educational,4,25,297,Jeddah,Northern,20,15,88,Ministry of Human Resources and Social Development,Job Seekers,Awareness,2012,Pending,8129,48,91,6724,69,No
Foundation Development for Communities,Technology,5,8,204,Riyadh,Western,12,15,98,Ministry of Communications and Information Technology,Job Seekers,Training,1991,Accredited,2910,31,75,3261,63,Yes
Initiative Unity Group,Technology,5,22,57,Jeddah,Eastern,9,6,62,Ministry of Health,Job Seekers,Training,1999,Unaccredited,7154,77,73,3788,72,Yes
Foundation Light for Development,Youth,11,23,273,Hail,Southern,13,4,75,Ministry of Human Resources and Social Development,Job Seekers,Capacity Building,2013,Accredited,6543,14,43,5514,80,No
Society Prosperity Group,Social Services,2,23,38,Taif,Central,8,12,70,Ministry of Municipal and Rural Affairs,Job Seekers,Awareness,1996,Accredited,6243,84,81,7475,70,Yes
Center Hope Network,Youth,6,7,157,Najran,Central,18,11,81,"Ministry of Environment, Water and Agriculture",Elderly,Advocacy,1996,Accredited,6522,11,94,6892,85,Yes
Initiative Innovation for Change,Development,19,14,117,Abha,Western,20,16,69,Ministry of Culture,Job Seekers,Awareness,1997,Pending,2368,59,39,6422,89,No
Society Innovation for Change,Development,32,25,200,Riyadh,Central,18,6,82,Ministry of Education,Patients,Community Engagement,1995,Accredited,9510,50,55,6594,97,Yes
Initiative Prosperity Network,Technology,47,16,215,Najran,Southern,10,9,82,Ministry of Communications and Information Technology,Youth,Advocacy,1990,Pending,4990,51,90,7352,69,No
Initiative Light Network,Educational,46,5,45,Medina,Eastern,12,0,87,"Ministry of Environment, Water and Agriculture",Refugees,Relief,2005,Unaccredited,9868,34,72,7966,80,No
Initiative Light Network,Charitable,9,27,150,Hail,Eastern,12,0,73,"Ministry of Environment, Water and Agriculture",Refugees,Community Engagement,1995,Unaccredited,6244,49,15,4636,72,No
Society Development for Development,Technology,44,12,197,Dammam,Western,20,20,86,Ministry of Culture,Families,Capacity Building,2002,Accredited,5173,40,94,8372,67,Yes
Initiative Progress for Change,Cultural,13,4,271,Tabuk,Southern,20,15,88,Ministry of Human Resources and Social Development,Youth,Research,1995,Pending,5051,11,74,9622,68,No
Foundation Development for Change,Cultural,5,28,43,Jeddah,Eastern,6,6,74,"Ministry of Environment, Water and Agriculture",Elderly,Research,2015,Accredited,2386,13,67,9565,72,Yes
Foundation Prosperity Network,Health,5,7,234,Hail,Southern,15,2,81,"Ministry of Environment, Water and Agriculture",Patients,Advocacy,1997,Accredited,6446,15,5,7914,99,Yes
Association Compassion for Change,Youth,29,18,114,Jeddah,Eastern,16,15,74,Ministry of Communications and Information Technology,Orphans,Awareness,2019,Pending,1197,65,84,8713,81,Yes
Association Compassion Initiative,Development,16,25,233,Taif,Southern,18,8,100,Ministry of Economy and Planning,Disabled,Community Engagement,2008,Accredited,7255,40,1,1877,73,No
Initiative Care Initiative,Cultural,34,22,72,Abha,Central,14,5,85,Ministry of Communications and Information Technology,Refugees,Advocacy,2002,Pending,2446,37,60,9671,94,Yes
Initiative Empowerment Network,Charitable,45,2,85,Riyadh,Northern,17,16,64,Ministry of Economy and Planning,Youth,Community Engagement,2011,Accredited,236,39,37,7624,60,No
Foundation Innovation for Youth,Youth,32,19,105,Tabuk,Western,2,2,71,Ministry of Education,Refugees,Relief,2016,Accredited,8918,8,60,3660,81,Yes
Center Development Group,Technology,36,2,283,Jeddah,Central,1,14,82,Ministry of Human Resources and Social Development,Disabled,Relief,1998,Pending,9980,38,4,4262,82,No
Foundation Growth for Youth,Development,47,29,196,Jeddah,Southern,7,15,62,Ministry of Culture,Patients,Training,2006,Unaccredited,7864,84,49,915,85,No
Society Light for Development,Health,27,9,287,Taif,Western,12,11,78,Ministry of Health,Refugees,Training,2005,Unaccredited,8684,88,86,4548,92,No
Foundation Compassion for Youth,Charitable,20,6,26,Hail,Central,11,17,100,"Ministry of Environment, Water and Agriculture",Refugees,Awareness,2000,Pending,9576,3,26,5852,72,Yes
Center Compassion for Communities,Social Services,5,21,77,Hail,Eastern,15,15,85,Ministry of Culture,Refugees,Research,2013,Unaccredited,4015,64,76,8209,87,Yes
Association Care for Youth,Social Services,32,14,150,Najran,Northern,19,9,99,Ministry of Health,Youth,Relief,2012,Pending,7890,14,72,6009,79,Yes
Initiative Care for Change,Charitable,9,4,90,Medina,Southern,7,20,72,"Ministry of Environment, Water and Agriculture",Refugees,Community Engagement,2012,Pending,7879,99,35,2267,87,Yes
Initiative Compassion for Development,Educational,33,13,272,Abha,Western,2,1,86,"Ministry of Environment, Water and Agriculture",Orphans,Research,2000,Accredited,2224,24,60,4002,98,No
Foundation Innovation for Development,Social Services,5,16,247,Hail,Northern,9,3,99,Ministry of Health,Refugees,Research,1999,Unaccredited,2343,76,24,4152,92,No
Initiative Prosperity Group,Youth,40,26,247,Riyadh,Central,9,12,92,"Ministry of Environment, Water and Agriculture",Disabled,Advocacy,2022,Accredited,5089,26,85,945,94,Yes
Center Harmony Initiative,Cultural,35,2,11,Dammam,Western,13,9,86,Ministry of Education,Patients,Research,2022,Pending,772,17,92,5642,82,No
Society Development Mission,Social Services,39,27,137,Dammam,Central,2,4,67,Ministry of Communications and Information Technology,Elderly,Relief,2001,Unaccredited,6775,25,88,8134,63,No
Association Growth Mission,Social Services,8,2,293,Dammam,Central,5,3,69,Ministry of Education,Orphans,Training,2018,Accredited,5376,41,22,3226,62,Yes
Center Innovation Initiative,Health,7,11,87,Tabuk,Central,2,9,89,Ministry of Culture,Elderly,Research,2019,Unaccredited,4039,31,97,5081,72,No
